No,Morphology,Phase ,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,B,Ga,Al,Fe,Zn,La,WE,tafel(mV/dec),ECSA(cm2),Rct,Cdl(mF/cm2),Overpotential(mV)
34.2,1,0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,64.5,0.0,2.2,2.32,323.0
34.3,1,0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,105.9,0.0,4.8,1.67,389.0
34.4,1,5,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0,0,0,0,3,129.7,0.0,5.5,2.1,402.0
34.5,1,0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,171.6,0.0,5.7,1.8,400.0
34.6,1,0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,3,92.6,0.0,5.3,2.56,384.0
35.1,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,53.0,273.0,0.0,16.37,284.0
35.2,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,75.0,236.0,0.0,14.16,344.0
35.3,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,79.0,251.0,0.0,15.06,349.0
35.4,1,2,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,82.0,227.0,0.0,13.62,352.0
35.5,1,2,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,94.0,366.0,0.0,0.0,366.0
35.6,1,2,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,88.0,355.0,0.0,0.0,355.0
36.0,6,0,0.0,0.2183,0.2029,0.0,0.1858,0.0,0.1943,0.1987,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,30.0,856.1,5.0,0.0,188.0
37.0,2,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,52.4,312.5,0.0,12.5,239.0
38.1,4,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,41.0,0.0,0.0,0.0,360.0
38.2,4,2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,52.0,0.0,0.0,0.0,495.0
38.3,4,2,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,58.0,0.0,0.0,0.0,460.0
39.0,1,0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,95.8,837.0,2.95,33.48,287.0
40.0,1,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,100.0,41.4,6.87,6.39,220.0
41.0,2,2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,58.0,0.0,15.76,0.0,411.0
42.0,1,0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0,0,0,0,3,70.0,439.0,7.9,2.635,430.0
